Shoal, Width,   1ft,    2ft,    3ft,    4ft,    5ft,    6ft,    7ft,    8ft,    9ft,   10ft,   Land, Mannings
132,  2268.,   754.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   740.,   0.1
133,  2040.,   718.,    97.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2134.,   0.1
134,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1293.,   0.1
135,  9500.,  1800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1930.,   0.1
136,  8900.,  1200.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1362.,   0.1
137,  8900.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1855.,   0.1
138,  8900.,   600.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   747.,   0.1
139,  8900.,  1500.,    20.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1607.,   0.1
140,  8900.,  1200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1369.,   0.1
141,  8900.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2168.,   0.1
142,  7200.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1682.,   0.1
143,  7200.,  2000.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2109.,   0.1
144,  7200.,  2800.,    20.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2910.,   0.1
145,   543.,   955.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   682.,   0.1
146,   718.,   340.,   624.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   510.,   0.1
147,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1003.,   0.1
148,   276.,     0.,    41.,     0.,    41.,     0.,     0.,     0.,     0.,     0.,     0.,  1441.,   0.1
149,  6300.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1768.,   0.1
150,  6300.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2272.,   0.1
151,  6300.,  2800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3034.,   0.1
152,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2087.,   0.1
153,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   712.,   0.1
154,   428.,   286.,   222.,    63.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,  1840.,   0.1
155,   434.,   198.,   165.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    33.,   0.1
156,  1117.,   322.,   450.,   643.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,   257.,   0.1
157,  2584.,   981.,  1397.,   208.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1041.,   0.1
158,  2155.,   122.,   306.,    61.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    31.,   0.1
159,  1666.,   330.,   264.,    99.,   165.,   198.,     0.,     0.,     0.,     0.,     0.,  1254.,   0.1
160,  1355.,   277.,    92.,    92.,    92.,   801.,     0.,     0.,     0.,     0.,     0.,   585.,   0.1
161,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   639.,   0.1
162,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2248.,   0.1
163,  2794.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1787.,   0.1
164,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   686.,   0.1
165,  3586.,   258.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   201.,   0.1
166,  1200.,   389.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1345.,   0.1
167,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   783.,   0.1
168,  5300.,  1200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1594.,   0.1
169,  5300.,   600.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   667.,   0.1
170,  5300.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2102.,   0.1
171,  5300.,  1500.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1668.,   0.1
172,  5300.,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   355.,   0.1
173,  5300.,  2800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2988.,   0.1
174,  5300.,  1300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1302.,   0.1
175,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1211.,   0.1
176,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1206.,   0.1
177,   270.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   915.,   0.1
178,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   491.,   0.1
179,   319.,   148.,   444.,   267.,   474.,     0.,     0.,     0.,     0.,     0.,     0.,  1096.,   0.1
180,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   762.,   0.1
181,   418.,   307.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   828.,   0.1
182,   976.,     0.,    38.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2191.,   0.1
183,   259.,   245.,   368.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    31.,   0.1
184,   619.,    87.,   116.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   348.,   0.1
185,   468.,    58.,    58.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1070.,   0.1
186,   175.,    81.,   189.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
187,   277.,   333.,   121.,    61.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   182.,   0.1
188,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   418.,   0.1
189,   510.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   412.,   0.1
190,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   376.,   0.1
191,   310.,   232.,   271.,    77.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1044.,   0.1
192,   590.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   625.,   0.1
193,   451.,   179.,    60.,    60.,   119.,   626.,     0.,     0.,     0.,     0.,     0.,   894.,   0.1
194,   659.,    31.,    61.,    92.,    61.,    92.,   275.,  2503.,  1160.,     0.,     0.,   641.,   0.1
195,   837.,   403.,   155.,    31.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,   496.,   0.1
196,   291.,   203.,    68.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1080.,   0.1
197,   942.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   527.,   0.1
198,   604.,   256.,   147.,    37.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   806.,   0.1
199,  1115.,    90.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   420.,   0.1
200,   630.,   331.,   211.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   722.,   0.1
201,   872.,   715.,   387.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    60.,   0.1
202,   844.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1766.,   0.1
203,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   407.,   0.1
204,   865.,   155.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   618.,   0.1
205,   422.,   324.,   442.,   206.,    59.,     0.,     0.,     0.,     0.,     0.,     0.,   442.,   0.1
206,  1037.,    82.,    41.,     0.,    41.,     0.,     0.,     0.,     0.,     0.,     0.,   411.,   0.1
207,   978.,     0.,    39.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1213.,   0.1
208,  1249.,   328.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2027.,   0.1
209,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   696.,   0.1
210,  1314.,   105.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   488.,   0.1
211,   470.,   221.,   379.,    95.,   126.,     0.,     0.,     0.,     0.,     0.,     0.,   316.,   0.1
212,   766.,   221.,    32.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   789.,   0.1
213,   319.,   553.,   349.,   145.,     0.,     0.,     0.,     0.,    29.,     0.,     0.,   175.,   0.1
214,   529.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   424.,   0.1
215,  2267.,   176.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   644.,   0.1
216,  1201.,   619.,    59.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   855.,   0.1
217,  1249.,   695.,   104.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   764.,   0.1
218,  1221.,   195.,     0.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1072.,   0.1
219,  1092.,  1443.,   545.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   256.,   0.1
220,   754.,  1642.,   418.,     0.,     0.,     0.,     0.,    30.,     0.,     0.,     0.,  2090.,   0.1
221,   715.,   628.,   331.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   132.,   0.1
222,   898.,   190.,   267.,   152.,    38.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
223,  1023.,   146.,   378.,   175.,    58.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.1
224,  1454.,   236.,   531.,   206.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   236.,   0.1
225,   344.,   112.,   168.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    28.,   0.1
226,   400.,   928.,   359.,   209.,    30.,     0.,    30.,     0.,     0.,     0.,     0.,   419.,   0.1
227,   310.,   573.,  1273.,   382.,     0.,    32.,     0.,     0.,     0.,     0.,     0.,    95.,   0.1
228,   865.,   114.,    86.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    29.,   0.1
229,   396.,   300.,   150.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   120.,   0.1
230,  1260.,  1062.,   236.,    79.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   944.,   0.1
231,  1304.,   458.,   649.,   153.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    38.,   0.1
232,   485.,   124.,   837.,   496.,   310.,   124.,    31.,    31.,     0.,     0.,     0.,     0.,   0.1
233,   394.,   650.,  1654.,   502.,     0.,     0.,     0.,     0.,    30.,     0.,     0.,   148.,   0.1
234,   367.,   314.,   274.,    39.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   157.,   0.1
235,   481.,   695.,   758.,   158.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   347.,   0.1
236,   767.,    69.,   831.,   312.,    35.,     0.,     0.,     0.,     0.,     0.,     0.,   658.,   0.1
237,   630.,    68.,    68.,   136.,   204.,   170.,    68.,    68.,   170.,     0.,    68.,  2897.,   0.1
238,   178.,    82.,    82.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   137.,   0.1
239,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   550.,   0.1
240,   907.,    41.,     0.,    82.,    41.,    41.,    41.,     0.,     0.,     0.,     0.,  7415.,   0.1
241,    45.,    33.,     0.,    50.,    50.,     0.,   160.,    50.,     0.,     0.,     0.,  3758.,   0.1
242,    50.,     0.,    50.,    50.,     0.,     0.,   100.,   100.,     0.,     0.,     0.,  4360.,   0.1
243,   224.,   488.,   384.,    35.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1256.,   0.1
244,   354.,  1112.,   247.,    31.,     0.,     0.,     0.,     0.,    31.,     0.,     0.,  1112.,   0.1
